# Key,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5,Recommendation_6,Recommendation_7,Recommendation_8,Recommendation_9,Recommendation_10,Recommendation_11,Recommendation_12,Recommendation_13,Recommendation_14,Recommendation_15,Recommendation_16,Recommendation_17,Recommendation_18,Recommendation_19,Recommendation_20,Recommendation_21,Recommendation_22,Recommendation_23,Recommendation_24,Recommendation_25,Recommendation_26,Recommendation_27,Recommendation_28,Recommendation_29,Recommendation_30,Recommendation_31,Recommendation_32,Recommendation_33,Recommendation_34,Recommendation_35,Recommendation_36,Recommendation_37,Recommendation_38,Recommendation_39,Recommendation_40,Recommendation_41,Recommendation_42,Recommendation_43,Recommendation_44,Recommendation_45,Recommendation_46,Recommendation_47,Recommendation_48,Recommendation_49,Recommendation_50,Recommendation_51,Recommendation_52,Recommendation_53,Recommendation_54,Recommendation_55,Recommendation_56,Recommendation_57,Recommendation_58,Recommendation_59,Recommendation_60,Recommendation_61,Recommendation_62,Recommendation_63,Recommendation_64,Recommendation_65,Recommendation_66,Recommendation_67,Recommendation_68,Recommendation_69,Recommendation_70,Recommendation_71,Recommendation_72,Recommendation_73,Recommendation_74,Recommendation_75,Recommendation_76,Recommendation_77,Recommendation_78,Recommendation_79,Recommendation_80,Recommendation_81,Recommendation_82,Recommendation_83,Recommendation_84,Recommendation_85,Recommendation_86,Recommendation_87,Recommendation_88,Recommendation_89,Recommendation_90,Recommendation_91,Recommendation_92,Recommendation_93,Recommendation_94,Recommendation_95,Recommendation_96,Recommendation_97,Recommendation_98,Recommendation_99,Recommendation_100
US_0000000000000627,US_0000000000004002,US_0000000000003826,US_0000000000003624,US_0000000000005709,US_0000000000005785,US_0000000000005705,US_0000000000005786,US_0000000000003798,US_0000000000001719,US_0000000000000640,US_0000000000025166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000000192,US_0000000000009871,US_0000000000001944,US_0000000000001929,US_0000000000000876,US_0000000000002584,US_0000000000001114,US_0000000000002097,US_0000000000007235,US_0000000000033339,US_0000000000001943,US_0000000000002097,US_0000000000000090,US_0000000000032599,US_0000000000000018,US_0000000000001521,US_0000000000000798,US_0000000000001493,US_0000000000008648,US_0000000000002367,US_0000000000001812,US_0000000000000821,US_0000000000001435,US_0000000000000131,US_0000000000001553,US_0000000000002326,US_0000000000001227,US_0000000000001522,US_0000000000004228,US_0000000000005046,US_0000000000000129,US_0000000000002803,US_0000000000025261,US_0000000000002386,US_0000000000008915,US_0000000000003025,US_0000000000036529,US_0000000000002635,US_0000000000002613,US_0000000000001411,US_0000000000010292,US_0000000000020375,US_0000000000001523,US_0000000000001843,US_0000000000001340,US_0000000000001017,US_0000000000000294,US_0000000000000289,US_0000000000009030,US_0000000000004019,US_0000000000002332,US_0000000000002372,US_0000000000003829,US_0000000000005579,US_0000000000003976,US_0000000000036400,US_0000000000006376,US_0000000000009035,US_0000000000001409,US_0000000000004037,US_0000000000034051,US_0000000000023274,US_0000000000002045,US_0000000000004030,US_0000000000000108,US_0000000000000208,US_0000000000001262,US_0000000000003988,US_0000000000002157,US_0000000000004418,US_0000000000001103,US_0000000000003357,US_0000000000000655,US_0000000000000769,US_0000000000018359,US_0000000000002156,US_0000000000001104,US_0000000000001152,US_0000000000001964,US_0000000000017873,US_0000000000005587,US_0000000000010534,US_0000000000001044,US_0000000000001710,,,,,,,,,,,,,,,,,
US_0000000000000802,US_0000000000002151,US_0000000000002819,US_0000000000001461,US_0000000000002365,US_0000000000009045,US_0000000000009042,US_0000000000021805,US_0000000000004748,US_0000000000000292,US_0000000000001804,US_0000000000002322,US_0000000000001115,US_0000000000000573,US_0000000000011805,US_0000000000001511,US_0000000000002501,US_0000000000000876,US_0000000000001929,US_0000000000000018,US_0000000000004004,US_0000000000005586,US_0000000000001425,US_0000000000061294,US_0000000000061293,US_0000000000000679,US_0000000000004037,US_0000000000030267,US_0000000000003992,US_0000000000003555,US_0000000000004030,US_0000000000001380,US_0000000000001962,US_0000000000000576,US_0000000000012917,US_0000000000007361,US_0000000000000020,US_0000000000036400,US_0000000000006376,US_0000000000000108,US_0000000000000273,US_0000000000000041,US_0000000000000272,US_0000000000004418,US_0000000000000769,US_0000000000001103,US_0000000000003357,US_0000000000000655,US_0000000000001104,US_0000000000018359,US_0000000000002156,US_0000000000002157,US_0000000000001360,US_0000000000004846,US_0000000000008648,US_0000000000000182,US_0000000000010760,US_0000000000000136,US_0000000000009673,US_0000000000001812,US_0000000000000107,US_0000000000000621,US_0000000000000622,US_0000000000038233,US_0000000000007320,US_0000000000038226,US_0000000000000537,US_0000000000000534,US_0000000000000545,US_0000000000000625,US_0000000000000623,US_0000000000000624,US_0000000000004321,US_0000000000002638,US_0000000000002372,US_0000000000009030,US_0000000000001843,US_0000000000020375,US_0000000000004734,US_0000000000002582,US_0000000000002386,US_0000000000002875,US_0000000000002122,US_0000000000005046,US_0000000000002326,US_0000000000010534,US_0000000000001044,US_0000000000025261,US_0000000000002803,US_0000000000000208,US_0000000000001262,US_0000000000000005,US_0000000000000212,US_0000000000001710,,,,,,,
US_0000000000016093,US_0000000000003925,US_0000000000004020,US_0000000000003953,US_0000000000003552,US_0000000000005741,US_0000000000004012,US_0000000000003930,US_0000000000005709,US_0000000000005785,US_0000000000005705,US_0000000000025166,US_0000000000000640,US_0000000000001719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000001952,US_0000000000003925,US_0000000000004020,US_0000000000003953,US_0000000000003552,US_0000000000004012,US_0000000000005741,US_0000000000003930,US_0000000000005705,US_0000000000005785,US_0000000000005709,US_0000000000001719,US_0000000000025166,US_0000000000000640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000001406,US_0000000000001668,US_0000000000001449,US_0000000000001478,US_0000000000001367,US_0000000000001163,US_0000000000000485,US_0000000000001580,US_0000000000002041,US_0000000000002056,US_0000000000001401,US_0000000000000798,US_0000000000001521,US_0000000000025261,US_0000000000002803,US_0000000000002875,US_0000000000000821,US_0000000000007783,US_0000000000000286,US_0000000000001475,US_0000000000002086,US_0000000000001792,US_0000000000002288,US_0000000000009172,US_0000000000000318,US_0000000000020375,US_0000000000004039,US_0000000000001400,US_0000000000001447,US_0000000000001360,US_0000000000004040,US_0000000000003852,US_0000000000000108,US_0000000000001893,US_0000000000000107,US_0000000000000071,US_0000000000002659,US_0000000000004002,US_0000000000003666,US_0000000000002372,US_0000000000003961,US_0000000000005629,US_0000000000002326,US_0000000000010292,US_0000000000000289,US_0000000000000208,US_0000000000001262,US_0000000000010534,US_0000000000001044,US_0000000000009035,US_0000000000001710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000002174,US_0000000000003993,US_0000000000003633,US_0000000000004018,US_0000000000003806,US_0000000000003596,US_0000000000001523,US_0000000000005731,US_0000000000005764,US_0000000000025166,US_0000000000001719,US_0000000000000640,US_0000000000002088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000002612,US_0000000000003993,US_0000000000003633,US_0000000000004018,US_0000000000003806,US_0000000000003596,US_0000000000001523,US_0000000000005731,US_0000000000005764,US_0000000000025166,US_0000000000000640,US_0000000000001719,US_0000000000002088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000002952,US_0000000000003993,US_0000000000003633,US_0000000000004018,US_0000000000003806,US_0000000000003596,US_0000000000001523,US_0000000000005731,US_0000000000005764,US_0000000000000640,US_0000000000001719,US_0000000000025166,US_0000000000002088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000014464,US_0000000000003993,US_0000000000003633,US_0000000000004018,US_0000000000003806,US_0000000000003596,US_0000000000001523,US_0000000000005731,US_0000000000005764,US_0000000000025166,US_0000000000000640,US_0000000000001719,US_0000000000002088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000001498,US_0000000000001912,US_0000000000001246,US_0000000000001668,US_0000000000001082,US_0000000000001374,US_0000000000007454,US_0000000000001579,US_0000000000002817,US_0000000000001153,US_0000000000000318,US_0000000000009172,US_0000000000001175,US_0000000000001553,US_0000000000001493,US_0000000000001470,US_0000000000008645,US_0000000000001800,US_0000000000001435,US_0000000000000200,US_0000000000001444,US_0000000000000098,US_0000000000002288,US_0000000000001663,US_0000000000001411,US_0000000000001533,US_0000000000002875,US_0000000000002583,US_0000000000002967,US_0000000000001710,US_0000000000003803,US_0000000000002326,US_0000000000000107,US_0000000000001623,US_0000000000001521,US_0000000000000798,US_0000000000000106,US_0000000000001587,US_0000000000003596,US_0000000000009035,US_0000000000002536,US_0000000000020375,US_0000000000003644,US_0000000000010292,US_0000000000001843,US_0000000000001340,US_0000000000001254,US_0000000000000197,US_0000000000000294,US_0000000000001017,US_0000000000000020,US_0000000000005615,US_0000000000004039,US_0000000000002045,US_0000000000034051,US_0000000000023274,US_0000000000005585,US_0000000000001380,US_0000000000010799,US_0000000000054391,US_0000000000009325,US_0000000000007783,US_0000000000000286,US_0000000000004175,US_0000000000008915,US_0000000000001773,US_0000000000000769,US_0000000000002156,US_0000000000003357,US_0000000000004418,US_0000000000002157,US_0000000000000655,US_0000000000001104,US_0000000000001103,US_0000000000018359,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000001802,US_0000000000002086,US_0000000000005585,US_0000000000001476,US_0000000000001523,US_0000000000001479,US_0000000000003993,US_0000000000003633,US_0000000000004039,US_0000000000001955,US_0000000000005624,US_0000000000000430,US_0000000000002088,US_0000000000009035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000001435,US_0000000000001803,US_0000000000001175,US_0000000000001050,US_0000000000001553,US_0000000000000088,US_0000000000001449,US_0000000000002817,US_0000000000007454,US_0000000000001153,US_0000000000001579,US_0000000000002041,US_0000000000001163,US_0000000000001580,US_0000000000002056,US_0000000000000485,US_0000000000002056,US_0000000000003897,US_0000000000001580,US_0000000000001444,US_0000000000002288,US_0000000000002355,US_0000000000058782,US_0000000000000098,US_0000000000001470,US_0000000000001786,US_0000000000001705,US_0000000000001698,US_0000000000034051,US_0000000000002045,US_0000000000023274,US_0000000000002650,US_0000000000001411,US_0000000000000289,US_0000000000001475,US_0000000000001587,US_0000000000000286,US_0000000000007783,US_0000000000025261,US_0000000000002803,US_0000000000002613,US_0000000000002635,US_0000000000036529,US_0000000000003025,US_0000000000010799,US_0000000000001476,US_0000000000001521,US_0000000000000798,US_0000000000002332,US_0000000000001710,US_0000000000002367,US_0000000000002326,US_0000000000001793,US_0000000000000294,US_0000000000001017,US_0000000000001493,US_0000000000010292,US_0000000000001843,US_0000000000008648,US_0000000000001447,US_0000000000002249,US_0000000000007308,US_0000000000045064,US_0000000000002016,US_0000000000002381,US_0000000000000388,US_0000000000002051,US_0000000000002021,US_0000000000008854,US_0000000000002040,US_0000000000000570,US_0000000000001044,US_0000000000010534,US_0000000000009030,US_0000000000015930,US_0000000000002966,US_0000000000038208,US_0000000000003633,US_0000000000003976,US_0000000000003829,US_0000000000005579,US_0000000000017873,US_0000000000005587,US_0000000000001380,US_0000000000009035,,,,,,,,,,,,,,,,
US_0000000000001493,US_0000000000001803,US_0000000000001175,US_0000000000002824,US_0000000000002012,US_0000000000010370,US_0000000000007818,US_0000000000009791,US_0000000000001364,US_0000000000002134,US_0000000000001082,US_0000000000001681,US_0000000000001211,US_0000000000000750,US_0000000000001064,US_0000000000000303,US_0000000000001444,US_0000000000007785,US_0000000000008588,US_0000000000001283,US_0000000000004886,US_0000000000009883,US_0000000000002056,US_0000000000002041,US_0000000000001580,US_0000000000000485,US_0000000000001163,US_0000000000001711,US_0000000000001810,US_0000000000001553,US_0000000000009783,US_0000000000010452,US_0000000000001470,US_0000000000000098,US_0000000000002367,US_0000000000001017,US_0000000000000294,US_0000000000002278,US_0000000000002316,US_0000000000001619,US_0000000000057049,US_0000000000057048,US_0000000000007681,US_0000000000009640,US_0000000000009748,US_0000000000007697,US_0000000000002275,US_0000000000007254,US_0000000000000407,US_0000000000007754,US_0000000000001988,US_0000000000009055,US_0000000000008237,US_0000000000000463,US_0000000000009192,US_0000000000001981,US_0000000000003261,US_0000000000010748,US_0000000000007130,US_0000000000003140,US_0000000000002621,US_0000000000000821,US_0000000000001262,US_0000000000000208,US_0000000000001586,US_0000000000002650,US_0000000000000798,US_0000000000001521,US_0000000000025261,US_0000000000002803,US_0000000000002355,US_0000000000012920,US_0000000000001482,US_0000000000044691,US_0000000000002032,US_0000000000000193,US_0000000000007296,US_0000000000000194,US_0000000000008231,US_0000000000001496,US_0000000000001996,US_0000000000005587,US_0000000000017873,US_0000000000010292,US_0000000000001411,US_0000000000003801,US_0000000000004175,US_0000000000009035,US_0000000000005585,US_0000000000003803,US_0000000000003633,US_0000000000000769,US_0000000000001103,US_0000000000002156,US_0000000000018359,US_0000000000002157,US_0000000000001104,US_0000000000004418,US_0000000000003357,US_0000000000000655,US_0000000000008648
US_0000000000001887,US_0000000000000273,US_0000000000000272,US_0000000000000041,US_0000000000001500,US_0000000000005587,US_0000000000017873,US_0000000000020375,US_0000000000001322,US_0000000000004526,US_0000000000000027,US_0000000000004004,US_0000000000000108,US_0000000000000808,US_0000000000002086,US_0000000000004228,US_0000000000001522,US_0000000000001227,US_0000000000001908,US_0000000000001695,US_0000000000000798,US_0000000000001521,US_0000000000003976,US_0000000000005579,US_0000000000003829,US_0000000000004033,US_0000000000003848,US_0000000000004025,US_0000000000005585,US_0000000000003633,US_0000000000001645,US_0000000000001400,US_0000000000009035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000022646,US_0000000000000041,US_0000000000000273,US_0000000000000272,US_0000000000001500,US_0000000000005587,US_0000000000017873,US_0000000000020375,US_0000000000001322,US_0000000000004526,US_0000000000000027,US_0000000000004004,US_0000000000000108,US_0000000000000808,US_0000000000002086,US_0000000000004228,US_0000000000001522,US_0000000000001227,US_0000000000001908,US_0000000000001695,US_0000000000001521,US_0000000000000798,US_0000000000005579,US_0000000000003829,US_0000000000003976,US_0000000000004033,US_0000000000003848,US_0000000000004025,US_0000000000005585,US_0000000000003633,US_0000000000001645,US_0000000000001400,US_0000000000009035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0000000000002348,US_0000000000002689,US_0000000000002690,US_0000000000002033,US_0000000000000826,US_0000000000000450,US_0000000000063153,US_0000000000035528,US_0000000000008054,US_0000000000063152,US_0000000000003844,US_0000000000004007,US_0000000000000130,US_0000000000002591,US_0000000000008939,US_0000000000002177,US_0000000000002719,US_0000000000002718,US_0000000000000105,US_0000000000000104,US_0000000000002322,US_0000000000002151,US_0000000000001776,US_0000000000002648,US_0000000000015943,US_0000000000002684,US_0000000000001358,US_0000000000001351,US_0000000000004480,US_0000000000004975,US_0000000000002349,US_0000000000000711,US_0000000000000419,US_0000000000008490,US_0000000000002416,US_0000000000000094,US_0000000000002347,US_0000000000000979,US_0000000000002510,US_0000000000004846,US_0000000000012183,US_0000000000003964,US_0000000000003843,US_0000000000030168,US_0000000000000136,US_0000000000010760,US_0000000000000182,US_0000000000009673,US_0000000000007261,US_0000000000000926,US_0000000000001500,US_0000000000004027,US_0000000000015876,US_0000000000005607,US_0000000000000576,US_0000000000001962,US_0000000000004004,US_0000000000038233,US_0000000000000621,US_0000000000000622,US_0000000000000623,US_0000000000038226,US_0000000000004321,US_0000000000000545,US_0000000000000624,US_0000000000000537,US_0000000000007320,US_0000000000000534,US_0000000000002638,US_0000000000000625,US_0000000000002122,US_0000000000001380,US_0000000000002549,US_0000000000000273,US_0000000000000041,US_0000000000000272,US_0000000000012917,US_0000000000007361,US_0000000000000108,US_0000000000000129,US_0000000000005046,US_0000000000020375,US_0000000000009035,,,,,,,,,,,,,,,,,,
